sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
97.0,3,2.0,0.0,261989,2701,1,0,2020.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
111.0,3,2.0,7.0,297621,2681,3,0,2020.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
99.0,3,2.0,3.0,251569,2541,1,0,2020.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
77.0,3,1.0,1.0,113500,1474,1,1,1968.0,0,0,0,0,0,0,0,0,0,0.1739828358208955
85.0,3,1.0,4.0,138000,1624,1,0,1966.0,0,0,0,0,1,0,0,0,0,0.1902237442922374
90.0,3,2.0,2.0,225000,2500,1,0,1970.0,1,1,0,1,0,0,1,1,1,0.2200382716049383
133.0,2,1.0,6.0,264000,1985,1,0,2003.0,1,1,0,1,1,1,1,1,1,0.2095736842105263
60.0,3,1.0,2.0,98260,1638,1,0,1960.0,0,0,0,0,0,0,0,0,0,0.2095736842105263
133.0,3,3.0,7.0,275000,2068,1,0,2004.0,0,1,0,1,1,0,1,0,0,0.2200382716049383
85.0,2,1.0,2.0,124000,1459,1,0,1967.0,1,0,0,0,0,1,0,0,0,0.1902237442922374
59.0,2,2.0,3.0,164513,2788,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1888532608695652
59.0,2,2.0,1.0,164416,2787,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1888532608695652
58.0,2,2.0,4.0,165435,2852,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1888532608695652
79.0,3,2.0,1.0,202629,2565,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1888532608695652
60.0,2,2.0,0.0,164242,2737,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1888532608695652
121.0,3,2.0,3.0,260000,2149,1,0,2001.0,1,1,0,1,1,1,1,1,1,0.2095736842105263
126.0,3,2.0,2.0,294900,2340,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1902237442922374
134.0,4,2.0,1.0,319900,2387,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1902237442922374
111.0,3,2.0,1.0,259900,2341,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1902237442922374
122.0,3,2.0,2.0,285900,2343,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1902237442922374
125.0,3,2.0,1.0,289900,2319,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1902237442922374
102.0,2,2.0,1.0,249900,2450,1,0,8170.0,0,1,0,1,1,0,1,1,1,0.1902237442922374
104.0,3,2.0,1.0,273352,2628,1,0,2020.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
66.0,3,1.0,1.0,104900,1589,1,0,1970.0,0,1,0,0,1,0,0,0,0,0.1526878378378378
95.0,2,1.0,2.0,155000,1632,1,0,1965.0,0,0,0,0,1,1,0,0,0,0.1902237442922374
74.0,3,1.0,1.0,100000,1351,1,0,1968.0,0,0,0,0,0,0,0,0,0,0.1526878378378378
97.0,2,1.0,0.0,210000,2165,1,0,2003.0,0,1,0,1,1,0,1,0,1,0.2200382716049383
90.0,2,2.0,7.0,240000,2667,3,0,2004.0,1,1,0,1,0,0,1,0,1,0.1902237442922374
130.0,4,2.0,3.0,257000,1977,1,0,1970.0,1,1,0,1,1,0,0,1,0,0.1902237442922374
49.0,2,1.0,0.0,84000,1714,1,0,1969.0,0,0,0,0,0,0,0,1,0,0.1902237442922374
151.0,3,2.0,6.0,314000,2079,1,0,1970.0,1,1,0,1,0,0,1,1,1,0.2095736842105263
69.0,3,1.0,4.0,107000,1551,1,0,1961.0,0,0,0,0,1,0,1,0,0,0.1526878378378378
170.0,3,2.0,8.0,325000,1912,3,0,2010.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
48.0,2,1.0,4.0,89000,1854,1,0,1971.0,0,0,0,0,0,0,0,0,0,0.2095736842105263
98.0,3,2.0,7.0,284900,2907,1,0,2001.0,1,1,0,1,0,0,1,1,1,0.2095736842105263
50.0,1,1.0,7.0,135000,2700,1,0,2008.0,1,1,0,1,0,0,1,0,1,0.1902237442922374
136.0,3,2.0,5.0,230000,1691,3,0,1999.0,0,1,0,0,1,0,0,0,1,0.1902237442922374
80.0,3,1.0,3.0,163000,2038,1,0,1970.0,1,1,0,0,0,0,1,0,0,0.1739828358208955
95.0,3,1.0,2.0,185000,1947,1,0,1975.0,1,1,0,0,1,0,0,0,0,0.1902237442922374
56.0,3,1.0,5.0,80000,1429,1,1,1965.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
43.0,1,1.0,0.0,84000,1953,1,0,1971.0,0,0,0,0,0,0,0,0,0,0.2095736842105263
72.0,3,1.0,3.0,119900,1665,1,1,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
100.0,4,2.0,1.0,154900,1549,1,0,1970.0,0,0,0,0,0,0,1,0,0,0.1739828358208955
70.0,3,1.0,4.0,119900,1713,1,1,1970.0,0,1,0,0,1,0,0,0,0,0.1739828358208955
60.0,2,1.0,0.0,79900,1332,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1739828358208955
60.0,2,1.0,2.0,79900,1332,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
91.0,3,2.0,3.0,129900,1427,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1739828358208955
74.0,3,1.0,2.0,99900,1350,1,1,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
110.0,3,2.0,5.0,275000,2500,1,0,1970.0,1,1,0,1,0,0,1,1,1,0.2200382716049383
83.0,3,1.0,3.0,91500,1102,1,0,1966.0,0,0,0,0,1,1,0,0,0,0.1902237442922374
25.0,0,1.0,4.0,129000,5160,1,0,1970.0,0,0,0,1,0,0,1,1,1,0.2095736842105263
65.0,2,1.0,0.0,86860,1336,1,1,1982.0,0,0,0,0,0,0,0,0,0,0.1902237442922374
58.0,3,1.0,3.0,105000,1810,1,0,1966.0,0,0,0,0,0,1,0,0,0,0.2200382716049383
115.0,3,2.0,6.0,216000,1878,1,0,2001.0,1,0,0,1,0,0,0,0,1,0.2200382716049383
82.0,3,1.0,4.0,120000,1463,1,0,1960.0,1,1,0,0,0,1,0,0,0,0.1902237442922374
83.0,3,1.0,0.0,135000,1627,1,0,1985.0,0,1,0,0,0,0,0,0,0,0.1902237442922374
90.0,2,1.0,0.0,212000,2356,1,0,2002.0,1,1,0,1,0,0,1,1,0,0.2200382716049383
95.0,2,2.0,5.0,184000,1937,1,0,2011.0,0,1,0,0,0,0,1,0,0,0.1526878378378378
89.0,3,1.0,0.0,160000,1798,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1902237442922374
178.0,4,2.0,5.0,299990,1685,1,0,1970.0,1,1,0,1,0,1,1,1,1,0.2095736842105263
59.0,2,1.0,2.0,117000,1983,1,0,1970.0,1,0,0,0,1,0,0,0,0,0.2095736842105263
100.0,4,1.0,0.0,165000,1650,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1888532608695652
68.0,3,1.0,4.0,95000,1397,1,1,1970.0,1,0,0,0,1,0,0,0,0,0.1902237442922374
50.0,2,1.0,2.0,106000,2120,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1739828358208955
114.0,4,2.0,2.0,229000,2009,1,0,1987.0,1,1,0,0,1,0,0,0,0,0.1739828358208955
81.0,3,2.0,3.0,155000,1914,1,0,1999.0,1,1,0,0,0,0,1,1,1,0.1902237442922374
